year,Stock,Cycle,A20.mediandate,A20.day,Comment,forecast.source,forecast.median,pi.probability,pi.lower,pi.upper,,
1951,chilko,3,7/27/1951,208,,,,,,,,
1952,chilko,4,7/25/1952,207,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1953,chilko,1,7/23/1953,204,,,,,,,,
1954,chilko,2,7/26/1954,207,,,,,,,,
1955,chilko,3,7/30/1955,211,,,,,,,,
1956,chilko,4,7/31/1956,213,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1957,chilko,1,8/3/1957,215,,,,,,,,
1958,chilko,2,8/9/1958,221,,,,,,,,
1959,chilko,3,8/4/1959,216,,,,,,,,
1960,chilko,4,8/4/1960,217,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1961,chilko,1,7/28/1961,209,,,,,,,,
1962,chilko,2,7/29/1962,210,,,,,,,,
1963,chilko,3,7/22/1963,203,,,,,,,,
1964,chilko,4,8/1/1964,214,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1965,chilko,1,7/27/1965,208,,,,,,,,
1966,chilko,2,7/29/1966,210,,,,,,,,
1967,chilko,3,7/29/1967,210,,,,,,,,
1968,chilko,4,7/29/1968,211,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1969,chilko,1,7/23/1969,204,,,,,,,,
1970,chilko,2,8/3/1970,215,,,,,,,,
1971,chilko,3,7/29/1971,210,,,,,,,,
1972,chilko,4,8/4/1972,217,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1973,chilko,1,8/1/1973,213,,,,,,,,
1974,chilko,2,8/2/1974,214,,,,,,,,
1975,chilko,3,7/25/1975,206,,,,,,,,
1976,chilko,4,8/1/1976,214,mf substracted 1 day to correct for Blackbourn adding a day to his days since june 30 on leap years,,,,,,,
1977,chilko,1,,,,,,,,,,
1978,chilko,2,8/3/1978,215,,,,,,,,
1979,chilko,3,8/3/1979,215,,,,,,,,
1980,chilko,4,8/9/1980,222,years 1980-2010 revised by Jim Cave in spring 2011 to avoid old method choosing day closer to 50%,,,,,,,
1981,chilko,1,,,,,,,,,,
1982,chilko,2,8/7/1982,219,,,,,,,,
1983,chilko,3,,,,,,,,,,
1984,chilko,4,8/4/1984,217,,,,,,,,
1985,chilko,1,,,,,,,,,,
1986,chilko,2,8/4/1986,216,email from Jim Cave 20110414,,,,,,,
1987,chilko,3,8/10/1987,222,email from Jim Cave 20110414,,,,,,,
1988,chilko,4,7/26/1988,208,email from Jim Cave 20110414,,,,,,,
1989,chilko,1,8/9/1989,221,email from Jim Cave 20110414,,,,,,,
1990,chilko,2,8/17/1990,229,email from Jim Cave 20110414,,,,,,,
1991,chilko,3,8/14/1991,226,email from Jim Cave 20110414,,,,,,,
1992,chilko,4,8/11/1992,224,email from Jim Cave 20110414,,,,,,,
1993,chilko,1,8/15/1993,227,email from Jim Cave 20110414,,,,,,,
1994,chilko,2,8/9/1994,221,email from Jim Cave 20110414,,,,,,,
1995,chilko,3,8/6/1995,218,email from Jim Cave 20110414,,,,,,,
1996,chilko,4,8/6/1996,219,email from Jim Cave 20110414,,,,,,,
1997,chilko,1,,,dominant Quesnel years and I dont have Chilko reconstructed uniquely -Jim Cave PSC,,,,,,,
1998,chilko,2,8/9/1998,221,email from Jim Cave 20110414,,,,,,,
1999,chilko,3,8/8/1999,220,I have a post-season reconstruction for Chilko in 1999 and have an area 20 timing of August 8 -Jim Cave PSC email 20110414,,,,,,,
2000,chilko,4,8/6/2000,219,email from Jim Cave 20110414,,,,,,,
2001,chilko,1,,,dominant Quesnel years and I dont have Chilko reconstructed uniquely -Jim Cave PSC,,,,,,,
2002,chilko,2,,,Quesnel return was quite large. dont have Chilko reconstructed uniquely -Jim Cave PSC,,,,,,,
2003,chilko,3,8/8/2003,220,email from Jim Cave 20110414,"oscurs, sst",8/13/2003,90%,8/6/2003,8/20/2003,,
2004,chilko,4,8/2/2004,215,email from Jim Cave 20110414,"oscurs, sst",8/2/2004,90%,7/27/2004,8/9/2004,,
2005,chilko,1,8/23/2005,235,email from Jim Cave 20110414,"oscurs, sst",8/6/2005,90%,7/31/2005,8/13/2005,,
2006,chilko,2,8/12/2006,224,email from Jim Cave 20110414,"oscurs, sst",8/9/2006,90%,8/2/2006,8/19/2006,,
2007,chilko,3,8/6/2007,218,[Timing] Probably fairly well known -Jim Cave PSC email from Jim Cave 20110414,"oscurs, sst",8/5/2007,90%,7/30/2007,8/14/2007,,
2008,chilko,4,7/30/2008,212,email from Jim Cave 20110414,"oscurs, sst",8/2/2008,90%,7/27/2008,8/9/2008,,
2009,chilko,1,8/4/2009,216,email from Jim Cave 20110414,"oscurs, sst",8/3/2009,90%,7/25/2009,8/11/2009,,
2010,chilko,2,8/15/2010,227,email from Jim Cave 20110414,"POM, SST",8/4/2010,90%,7/26/2010,8/13/2010,,
2011,chilko,3,8/11/2011,223,email from jim cave 20111209,"POM, SST",8/7/2011,90%,7/28/2011,8/17/2011,,
2012,chilko,4,8/5/2012,218,catherine michielsens (PSC) email Jan 24 2013,"POM, SST",8/9/2012,,,,,
2013,chilko,1,8/10/2013,222,catherine michielsens (PSC) email September 11 2013 10:41 AM,"POM, SST",8/4/2013,,,,,
2014,chilko,2,8/19/2014,231,catherine michielsens (PSC) email March 03 2015 12:12 PM,"POM, SST",8/15/2014,,,,,
2015,chilko,3,8/11/2015,223,catherine michielsens (PSC) email March-03-16 3:33 PM,"oscar, sst",8/4/2015,50%,8/2/2015,8/6/2015,,
2016,chilko,4,8/2/2016,215,catherine michielsens (PSC) email Jan 03 2017,bootstrap,8/7/2016,50%,8/4/2016,8/10/2016,,
2017,chilko,1,8/12/2017,224,catherine michielsens (PSC) email Dec 21 2017,bootstrap,8/4/2017,50%,7/31/2017,8/8/2017,,
2018,chilko,2,8/11/2018,223,fiona martens (PSC) email May 8 2019,bootstrapJune,8/11/2018,50%,8/7/2018,8/14/2018,,
2019,chilko,3,8/20/2019,232,catherine michielsen (PSC) email June 3 2020 7:50 PM,ARIMAJune,8/10/2019,50%,8/7/2019,8/13/2019,,
2020,chilko,4,8/2/2020,215,catherine michielsen (PSC) email May 17 2021 4:35 PM,ARIMAJune,8/8/2020,95%,7/31/2020,8/20/2020,,
2021,chilko,1,8/15/2021,227,catherine michielsen (PSC) email Jan 31 2022,bootstrapJune,8/3/2021,95%,7/25/2021,8/11/2021,,
1951,earlystuart,3,,,,,,,,,,
1952,earlystuart,4,,,,,,,,,,
1953,earlystuart,1,7/4/1953,185,,,,,,,,
1954,earlystuart,2,7/1/1954,182,,,,,,,,
1955,earlystuart,3,6/30/1955,181,,,,,,,,
1956,earlystuart,4,,,,,,,,,,
1957,earlystuart,1,7/5/1957,186,,,,,,,,
1958,earlystuart,2,7/12/1958,193,,,,,,,,
1959,earlystuart,3,7/4/1959,185,,,,,,,,
1960,earlystuart,4,,,,,,,,,,
1961,earlystuart,1,7/2/1961,183,,,,,,,,
1962,earlystuart,2,6/30/1962,181,,,,,,,,
1963,earlystuart,3,6/29/1963,180,,,,,,,,
1964,earlystuart,4,,,,,,,,,,
1965,earlystuart,1,6/30/1965,181,,,,,,,,
1966,earlystuart,2,6/30/1966,181,,,,,,,,
1967,earlystuart,3,7/8/1967,189,,,,,,,,
1968,earlystuart,4,,,,,,,,,,
1969,earlystuart,1,7/1/1969,182,,,,,,,,
1970,earlystuart,2,6/27/1970,178,,,,,,,,
1971,earlystuart,3,7/2/1971,183,,,,,,,,
1972,earlystuart,4,,,,,,,,,,
1973,earlystuart,1,7/2/1973,183,,,,,,,,
1974,earlystuart,2,6/30/1974,181,,,,,,,,
