"","period.group","period","group","year","month","u","v"
"1","1993-01:2","1993-01",2,1993,1,-0.0652136049868901,0.08376986812606
"2","1994-01:2","1994-01",2,1994,1,-0.0317857912274423,0.0541843624040216
"3","1995-01:2","1995-01",2,1995,1,-0.0690918939952338,0.109827280150752
"4","1996-01:2","1996-01",2,1996,1,-0.0624953948057414,0.0696131416124663
"5","1997-01:2","1997-01",2,1997,1,-0.0385845731451032,0.0754387366379367
"6","1998-01:2","1998-01",2,1998,1,-0.0520978634481215,0.0844531011788436
"7","1999-01:2","1999-01",2,1999,1,-0.00909755498564322,0.0242667924999571
"8","2000-01:2","2000-01",2,2000,1,0.00355650507707907,0.0334482284779201
"9","2001-01:2","2001-01",2,2001,1,-0.0531260356653115,0.102597880204591
"10","2002-01:2","2002-01",2,2002,1,-0.0431289305630324,0.0771613069503411
"11","2003-01:2","2003-01",2,2003,1,-0.0575728124205723,0.117902178648328
"12","2004-01:2","2004-01",2,2004,1,-0.0655083282882129,0.106938966172963
"13","2005-01:2","2005-01",2,2005,1,-0.0621807280933667,0.0813417986119536
"14","2006-01:2","2006-01",2,2006,1,-0.0550467423084382,0.114911938845048
"15","2007-01:2","2007-01",2,2007,1,-0.0218428774507291,0.047233726511521
"16","2008-01:2","2008-01",2,2008,1,-0.053335579705167,0.0718406741567773
"17","2009-01:2","2009-01",2,2009,1,-0.009693383726647,0.0284448193065347
"18","2010-01:2","2010-01",2,2010,1,-0.087513826776827,0.159837250071072
"19","2011-01:2","2011-01",2,2011,1,-0.0359959836574347,0.0818881221309446
"20","2012-01:2","2012-01",2,2012,1,-0.0335840986230988,0.0697945816362025
"21","2013-01:2","2013-01",2,2013,1,-0.00739108934822817,0.029053518779456
"22","2014-01:2","2014-01",2,2014,1,-0.00988951554058584,0.0409384379162218
"23","2015-01:2","2015-01",2,2015,1,-0.0132050929427862,0.0428462381126407
"24","2016-01:2","2016-01",2,2016,1,-0.051655391618229,0.134561657846298
"25","2017-01:2","2017-01",2,2017,1,-0.0337387041495245,0.0632736748180841
"26","2018-01:2","2018-01",2,2018,1,-0.0247993578454684,0.0882042183582756
"27","2019-01:2","2019-01",2,2019,1,-0.0485326076124402,0.0950100283802035
"28","2020-01:2","2020-01",2,2020,1,-0.0440755762385268,0.0660908259943244
"29","2021-01:2","2021-01",2,2021,1,-0.040982826530703,0.106127954958632
"30","2022-01:2","2022-01",2,2022,1,-0.0265059228926905,0.064852207021905
