"","period.group","period","group","year","month","u","v"
"1","1993-01:1","1993-01",1,1993,1,-0.0393431900132944,0.0637515152904039
"2","1993-01:2","1993-01",2,1993,1,-0.0652136049868901,0.08376986812606
"3","1993-01:3","1993-01",3,1993,1,-0.0732648590051685,0.100372243672985
"4","1993-02:1","1993-02",1,1993,2,-0.0560704143684825,0.112717475074758
"5","1993-02:2","1993-02",2,1993,2,-0.0723250982162557,0.112562858215315
"6","1993-02:3","1993-02",3,1993,2,-0.0402628390140086,0.0797296440662045
"7","1993-03:1","1993-03",1,1993,3,-0.0348018829605205,0.0769946534429572
"8","1993-03:2","1993-03",2,1993,3,-0.0375155069322865,0.0716618572794298
"9","1993-03:3","1993-03",3,1993,3,-0.0352827958167438,0.0471181715015158
"10","1993-04:1","1993-04",1,1993,4,-0.0282889024423273,0.0433000784979262
"11","1993-04:2","1993-04",2,1993,4,-0.0212170563597268,0.0569609340062812
"12","1993-04:3","1993-04",3,1993,4,-0.0150526119224415,0.0426160037099001
"13","1993-05:1","1993-05",1,1993,5,-0.0149350233583442,0.00119487704470166
"14","1993-05:2","1993-05",2,1993,5,-0.00325249682334085,0.0114432124261931
"15","1993-05:3","1993-05",3,1993,5,-0.00642075177777036,0.0323020836389706
"16","1994-01:1","1994-01",1,1994,1,-0.0349671204412363,0.0810904460448386
"17","1994-01:2","1994-01",2,1994,1,-0.0317857912274423,0.0541843624040216
"18","1994-01:3","1994-01",3,1994,1,-0.0231901678174697,0.0465679728306538
"19","1994-02:1","1994-02",1,1994,2,-0.0346732381807434,0.0510037730982543
"20","1994-02:2","1994-02",2,1994,2,-0.0252039947441463,0.0222892423987769
"21","1994-02:3","1994-02",3,1994,2,-0.014028904208809,0.0305120756602564
"22","1994-03:1","1994-03",1,1994,3,-0.00225808774470453,0.040568977364096
"23","1994-03:2","1994-03",2,1994,3,-0.0128289017695235,0.0175990048997512
"24","1994-03:3","1994-03",3,1994,3,-0.0149662832760232,0.0229968163243974
"25","1994-04:1","1994-04",1,1994,4,0.000800426228078831,0.0165504192342461
"26","1994-04:2","1994-04",2,1994,4,0.00434762060044532,-0.00433011490974183
"27","1994-04:3","1994-04",3,1994,4,-0.000566877767981487,-0.00154507668274345
"28","1994-05:1","1994-05",1,1994,5,-0.0018253487821899,0.0170977658937557
"29","1994-05:2","1994-05",2,1994,5,0.0211281539006986,-0.00723428866564668
"30","1994-05:3","1994-05",3,1994,5,0.0124240298721113,-0.0247144765449645
"31","1995-01:1","1995-01",1,1995,1,-0.0531426187814094,0.146837098974909
"32","1995-01:2","1995-01",2,1995,1,-0.0690918939952338,0.109827280150752
"33","1995-01:3","1995-01",3,1995,1,-0.0566868954419724,0.0938492893639701
"34","1995-02:1","1995-02",1,1995,2,-0.0242167507253012,0.0723048371296947
"35","1995-02:2","1995-02",2,1995,2,-0.0452544214019005,0.0347420703786884
"36","1995-02:3","1995-02",3,1995,2,-0.0252700918539758,0.0355258305174184
"37","1995-03:1","1995-03",1,1995,3,-0.0299076679508846,0.0540207538477852
"38","1995-03:2","1995-03",2,1995,3,-0.027827916917573,0.0306433124411843
"39","1995-03:3","1995-03",3,1995,3,-0.011238367103468,0.0338900912734764
"40","1995-04:1","1995-04",1,1995,4,-0.000479814098461497,0.0263842248000753
"41","1995-04:2","1995-04",2,1995,4,0.03676727849768,-0.0160476451956155
"42","1995-04:3","1995-04",3,1995,4,0.015189636327738,-0.0244384818198663
"43","1995-05:1","1995-05",1,1995,5,0.0119709759195185,-0.0250192315229415
"44","1995-05:2","1995-05",2,1995,5,0.0293238182467425,-0.0357171063020187
"45","1995-05:3","1995-05",3,1995,5,0.00913340919263679,-0.043065040837973
"46","1996-01:1","1996-01",1,1996,1,-0.0419335592942179,0.0786890862653303
"47","1996-01:2","1996-01",2,1996,1,-0.0624953948057414,0.0696131416124663
"48","1996-01:3","1996-01",3,1996,1,-0.0561773764261651,0.061890828904298
"49","1996-02:1","1996-02",1,1996,2,-0.0327692418323901,0.0824306472358665
"50","1996-02:2","1996-02",2,1996,2,-0.0601914866433151,0.0854359722094682
"51","1996-02:3","1996-02",3,1996,2,-0.0559083332725802,0.0943593394360678
"52","1996-03:1","1996-03",1,1996,3,-0.0376247209734038,0.0512426216745869
"53","1996-03:2","1996-03",2,1996,3,-0.0535461385874186,0.0649286747624343
"54","1996-03:3","1996-03",3,1996,3,-0.0306593112650004,0.0412448184072426
"55","1996-04:1","1996-04",1,1996,4,-0.00599779967461558,0.0239432351578779
"56","1996-04:2","1996-04",2,1996,4,-0.0208388175191182,0.0549775498375893
"57","1996-04:3","1996-04",3,1996,4,-0.0261284149997171,0.0506777250500723
"58","1996-05:1","1996-05",1,1996,5,-0.00617466484175692,-0.0194279840524949
"59","1996-05:2","1996-05",2,1996,5,-0.0278817619203533,0.0316405625843122
"60","1996-05:3","1996-05",3,1996,5,-0.0219793460004523,0.00167460872803782
"61","1997-01:1","1997-01",1,1997,1,-0.056001374389191,0.120011992889813
"62","1997-01:2","1997-01",2,1997,1,-0.0385845731451032,0.0754387366379367
"63","1997-01:3","1997-01",3,1997,1,-0.0296828702608428,0.0700506711411898
"64","1997-02:1","1997-02",1,1997,2,-0.0427371180863544,0.111415650661595
"65","1997-02:2","1997-02",2,1997,2,-0.0280551619335934,0.0678675056365785
"66","1997-02:3","1997-02",3,1997,2,-0.0361850950666193,0.0619433524911006
"67","1997-03:1","1997-03",1,1997,3,-0.0401736749263237,0.0760186987436434
"68","1997-03:2","1997-03",2,1997,3,-0.0154135104061144,0.04944453698358
"69","1997-03:3","1997-03",3,1997,3,-0.0178770488171135,0.0413409450536751
"70","1997-04:1","1997-04",1,1997,4,-0.0397095216737126,0.0772636082733158
"71","1997-04:2","1997-04",2,1997,4,-0.0193591447060188,0.0472841042519033
"72","1997-04:3","1997-04",3,1997,4,0.0100708204945747,0.0053261369146163
"73","1997-05:1","1997-05",1,1997,5,-0.0285130501621079,0.04116684184638
"74","1997-05:2","1997-05",2,1997,5,-0.0155696584688715,0.0248886270008669
"75","1997-05:3","1997-05",3,1997,5,-0.00880925294813142,0.0118128397022198
"76","1998-01:1","1998-01",1,1998,1,-0.0649299573145206,0.145316170181725
"77","1998-01:2","1998-01",2,1998,1,-0.0520978634481215,0.0844531011788436
"78","1998-01:3","1998-01",3,1998,1,-0.0515839452710934,0.112711637389597
"79","1998-02:1","1998-02",1,1998,2,-0.0427616894987192,0.141019572321508
"80","1998-02:2","1998-02",2,1998,2,-0.0331810047190463,0.0813069778223901
"81","1998-02:3","1998-02",3,1998,2,-0.0393255277647013,0.0913369370795239
"82","1998-03:1","1998-03",1,1998,3,-0.00456330959445638,0.023909251276555
"83","1998-03:2","1998-03",2,1998,3,0.0209017708797768,-0.0114471863058669
"84","1998-03:3","1998-03",3,1998,3,-0.00649477000121024,0.0152706077869972
"85","1998-04:1","1998-04",1,1998,4,-0.00355782236484266,0.0201066535317948
"86","1998-04:2","1998-04",2,1998,4,0.00469938061235796,0.0148781014909826
"87","1998-04:3","1998-04",3,1998,4,0.0131233343062324,-0.0148246068108408
"88","1998-05:1","1998-05",1,1998,5,0.00243730819990056,-0.012336901333661
"89","1998-05:2","1998-05",2,1998,5,0.00144668403069414,-0.00600349247505012
"90","1998-05:3","1998-05",3,1998,5,0.0120911840906458,-0.0229405783328233
"91","1999-01:1","1999-01",1,1999,1,-0.0304513874089933,0.0583135329921946
"92","1999-01:2","1999-01",2,1999,1,-0.00909755498564322,0.0242667924999571
"93","1999-01:3","1999-01",3,1999,1,-0.0480950902808322,0.0644546547788567
"94","1999-02:1","1999-02",1,1999,2,-0.0548103527019109,0.138335238094784
"95","1999-02:2","1999-02",2,1999,2,-0.0392223760113671,0.0859316640037302
"96","1999-02:3","1999-02",3,1999,2,-0.0571679302618962,0.106427971647366
"97","1999-03:1","1999-03",1,1999,3,-0.0362985035781968,0.112883387539521
"98","1999-03:2","1999-03",2,1999,3,-0.070397289722067,0.0936994456405269
"99","1999-03:3","1999-03",3,1999,3,-0.0661079290702914,0.0860131903724921
"100","1999-04:1","1999-04",1,1999,4,-0.00554510930288584,0.0374826971462106
"101","1999-04:2","1999-04",2,1999,4,-0.00370371709980129,0.00184450609153075
"102","1999-04:3","1999-04",3,1999,4,-0.0310704974001067,0.0166601286597854
"103","1999-05:1","1999-05",1,1999,5,-0.000778382187625592,0.0271125230917134
"104","1999-05:2","1999-05",2,1999,5,0.0230368714578311,-0.0106730025013534
"105","1999-05:3","1999-05",3,1999,5,0.00047867254241433,-0.0157048174633644
"106","2000-01:1","2000-01",1,2000,1,-0.038861935226354,0.0829575747304443
"107","2000-01:2","2000-01",2,2000,1,0.00355650507707907,0.0334482284779201
"108","2000-01:3","2000-01",3,2000,1,-0.0496430054693445,0.0684094648741546
"109","2000-02:1","2000-02",1,2000,2,-0.0624854919352807,0.109979874343822
"110","2000-02:2","2000-02",2,2000,2,-0.0312427542931329,0.0652746487563391
"111","2000-02:3","2000-02",3,2000,2,-0.0507227857694882,0.0936518430572951
"112","2000-03:1","2000-03",1,2000,3,-0.0447938247091053,0.110879901815131
"113","2000-03:2","2000-03",2,2000,3,0.00762611324620414,0.03986354780187
"114","2000-03:3","2000-03",3,2000,3,-0.0149412807987455,0.044602388930758
"115","2000-04:1","2000-04",1,2000,4,-0.0239648582528293,0.0533853424547144
"116","2000-04:2","2000-04",2,2000,4,0.0246701068087578,-0.00122574208234059
"117","2000-04:3","2000-04",3,2000,4,0.00655456878277766,0.00546169625808615
"118","2000-05:1","2000-05",1,2000,5,-0.0306612483963644,0.045658734268314
"119","2000-05:2","2000-05",2,2000,5,-0.00172264152845384,0.0176400590483936
"120","2000-05:3","2000-05",3,2000,5,0.00181364580305121,-0.00967163325545654
"121","2001-01:1","2001-01",1,2001,1,-0.0265371997577278,0.119626983490769
"122","2001-01:2","2001-01",2,2001,1,-0.0531260356653115,0.102597880204591
"123","2001-01:3","2001-01",3,2001,1,-0.0379246803649,0.0823334058030256
"124","2001-02:1","2001-02",1,2001,2,-0.0117237762749254,0.0262501854572789
"125","2001-02:2","2001-02",2,2001,2,-0.0400560808641977,0.0467888970935423
"126","2001-02:3","2001-02",3,2001,2,-0.0457597866134945,0.0500891862994965
"127","2001-03:1","2001-03",1,2001,3,-0.00616763337692941,0.034660375726343
"128","2001-03:2","2001-03",2,2001,3,-0.00487562181831963,0.0265642906047085
"129","2001-03:3","2001-03",3,2001,3,-0.0165246102021064,0.0048257083797637
"130","2001-04:1","2001-04",1,2001,4,0.00473173858394878,0.0198632199281123
"131","2001-04:2","2001-04",2,2001,4,-0.00232160037940518,0.00397291709062736
"132","2001-04:3","2001-04",3,2001,4,0.00462051620176805,-0.0155580640122504
"133","2001-05:1","2001-05",1,2001,5,-0.00180239413146239,0.0366126344178293
"134","2001-05:2","2001-05",2,2001,5,0.0182022493066446,-0.00639896298070011
"135","2001-05:3","2001-05",3,2001,5,0.0171109461173298,-0.0225360570120646
"136","2002-01:1","2002-01",1,2002,1,-0.0480400645827592,0.115009300406286
"137","2002-01:2","2002-01",2,2002,1,-0.0431289305630324,0.0771613069503411
"138","2002-01:3","2002-01",3,2002,1,-0.0435300400842152,0.0585493410855153
"139","2002-02:1","2002-02",1,2002,2,-0.0252424784608693,0.0774478441539852
"140","2002-02:2","2002-02",2,2002,2,-0.00953801750231858,0.0467398687078352
"141","2002-02:3","2002-02",3,2002,2,-0.0287859814221097,0.0477099758364926
"142","2002-03:1","2002-03",1,2002,3,-0.039769769691917,0.0443908556009786
