year,A20.mediandate,comment,forecast.source,forecast.median,pi.probability,pi.lower,pi.upper,forecast.comment
1959,1959-08-24,email from Bruce White (PSC) 20110404,,,,,,
1961,1961-08-19,email from Bruce White (PSC) 20110404,,,,,,
1963,1963-09-06,email from Bruce White (PSC) 20110404,,,,,,
1965,1965-08-25,email from Bruce White (PSC) 20110404,,,,,,
1967,1967-08-29,email from Bruce White (PSC) 20110404,,,,,,
1969,1969-08-24,email from Bruce White (PSC) 20110404,,,,,,
1971,1971-08-30,email from Bruce White (PSC) 20110404,,,,,,
1973,1973-09-01,email from Bruce White (PSC) 20110404,,,,,,
1975,1975-08-28,email from Bruce White (PSC) 20110404,,,,,,
1977,1977-08-24,email from Bruce White (PSC) 20110404,,,,,,
1979,1979-08-28,email from Bruce White (PSC) 20110404,,,,,,
1981,1981-08-30,email from Bruce White (PSC) 20110404,,,,,,
1983,,email from Bruce White (PSC) 20110404,,,,,,
1985,1985-08-31,email from Bruce White (PSC) 20110404,,,,,,
1987,1987-08-25,email from Bruce White (PSC) 20110404,,,,,,
1989,1989-09-05,email from Bruce White (PSC) 20110404,,,,,,
1991,1991-09-04,email from Bruce White (PSC) 20110404,,,,,,
1993,1993-09-02,email from Bruce White (PSC) 20110404,,,,,,
1995,1995-08-29,email from Bruce White (PSC) 20110404,,,,,,
1997,1997-09-01,email from Bruce White (PSC) 20110404,,,,,,
1999,1999-09-07,email from Bruce White (PSC) 20110404,,,,,,
2001,2001-09-02,email from Bruce White (PSC) 20110404,"oscurs, whole weight",2001-09-02,90%,2001-08-28,2001-09-07,
2003,2003-08-25,email from Bruce White (PSC) 20110404,"oscurs, whole weight",,,,,not produced?
2005,2005-08-25,email from Bruce White (PSC) 20110404,"oscurs, whole weight",2005-08-29,90%,2005-08-25,2005-09-04,
2007,2007-08-22,email from Bruce White (PSC) 20110404,"oscurs, whole weight",2007-09-01,90%,2007-08-26,2007-09-06,"email from Folkes Aug 25,2005"
2009,2009-08-28,email from Bruce White (PSC) 20110404,"oscurs, whole weight",2009-08-31,90%,2009-08-23,2009-09-08,
2011,2011-08-28,catherine michielsens (PSC) email Jan 24 2013,"oscurs, whole weight",2011-08-31,90%,2011-08-23,2011-09-09,
2013,2013-08-28,email from Bruce White (PSC) 20131016,"offshore SST, oscar zol",2013-08-24,95%,2013-08-19,2013-08-29,
2015,2015-08-22,catherine michielsens (PSC) email Jan 03 2017,"offshore SST, oscar zol",2015-08-29,50%,2015-08-27,2015-08-31,
2017,2017-08-23,fiona martens (PSC) email May 8 2019,nepstar,2017-08-29,,,,
2019,2019-08-17,catherine michielsen (PSC) email June 3 2020 7:50 PM,ARIMA,2019-08-25,50%,2019-08-21,2019-08-28,
2021,2021-08-20,"email from Catherine Michielsens January 31, 2022",bootstrap,2021-08-28,95%,2021-08-20,2021-09-05,
