year,A20.mediandate,comment,area,forecast.source,forecast.median,pi.probability,pi.lower,pi.upper,forecast.comment
1951,,,,,,,,,
1952,,,,,,,,,
1953,1953-07-04,,,,,,,,
1954,1954-07-01,,,,,,,,
1955,1955-06-30,,,,,,,,
1956,,,,,,,,,
1957,1957-07-05,,,,,,,,
1958,1958-07-12,,,,,,,,
1959,1959-07-04,,,,,,,,
1960,,,,,,,,,
1961,1961-07-02,,,,,,,,
1962,1962-06-30,,,,,,,,
1963,1963-06-29,,,,,,,,
1964,,,,,,,,,
1965,1965-06-30,,,,,,,,
1966,1966-06-30,,,,,,,,
1967,1967-07-08,,,,,,,,
1968,,,,,,,,,
1969,1969-07-01,,,,,,,,
1970,1970-06-27,,,,,,,,
1971,1971-07-02,,,,,,,,
1972,,,,,,,,,
1973,1973-07-02,,,,,,,,
1974,1974-06-30,,,,,,,,
1975,1975-06-29,,,,,,,,
1976,,,,,,,,,
1977,1977-06-30,,,,,,,,
1978,1978-06-28,,,,,,,,
1979,1979-07-02,,,,,,,,
1980,1980-07-03,years 1980-2010 revised by Jim Cave in spring 2011 to avoid old method choosing day closer to 50% email from Jim Cave 20110414,,,,,,,
1981,1981-07-03,email from Jim Cave 20110414,,,,,,,
1982,1982-07-04,email from Jim Cave 20110414,,,,,,,
1983,1983-07-01,email from Jim Cave 20110414,,,,,,,
1984,1984-07-01,email from Jim Cave 20110414,,,,,,,
1985,1985-07-05,email from Jim Cave 20110414,,,,,,,
1986,1986-07-01,email from Jim Cave 20110414,,,,,,,
1987,1987-07-05,email from Jim Cave 20110414,,,,,,,
1988,1988-07-02,email from Jim Cave 20110414,,,,,,,
1989,1989-07-03,email from Jim Cave 20110414,,,,,,,
1990,1990-07-04,email from Jim Cave 20110414,,,,,,,
1991,1991-07-08,email from Jim Cave 20110414,,,,,,,
1992,1992-07-07,email from Jim Cave 20110414,,,,,,,
1993,1993-07-10,email from Jim Cave 20110414,,,,,,,
1994,1994-07-05,email from Jim Cave 20110414,,,,,,,
1995,1995-07-01,email from Jim Cave 20110414,,,,,,,
1996,1996-07-06,email from Jim Cave 20110414,,,,,,,
1997,1997-07-11,email from Jim Cave 20110414,,,,,,,
1998,1998-07-03,email from Jim Cave 20110414,,,,,,,
1999,1999-07-03,email from Jim Cave 20110414,,,,,,,
2000,2000-06-28,email from Jim Cave 20110414,,,,,,,
2001,2001-06-29,email from Jim Cave 20110414,,,,,,,
2002,2002-07-04,email from Jim Cave 20110414,,,,,,,
2003,2003-07-06,email from Jim Cave 20110414,a20,"oscurs, sst",2003-07-06,90%,2003-06-02,2003-07-10,
2004,2004-07-07,email from Jim Cave 20110414,a20,"oscurs, sst",2004-06-29,90%,2004-06-25,2004-07-03,
2005,2005-07-17,email from Jim Cave 20110414,a20,"oscurs, sst",2005-07-04,90%,2005-07-01,2005-07-07,
2006,2006-07-07,email from Jim Cave 20110414,a20,"oscurs, sst",2006-07-03,90%,2006-06-28,2006-07-08,
2007,2007-07-01,Very small run so resolution of timing isn't good email from Jim Cave 20110414,a20,"oscurs, sst",2007-07-01,90%,2007-06-26,2007-07-06,
2008,2008-06-29,based on test fishing email from Jim Cave 20110414,a20,"oscurs, sst",2008-07-01,90%,2008-06-28,2008-07-07,
2009,2009-06-29,email from Jim Cave 20110414,a20,"oscurs, sst",2009-07-04,90%,2009-06-29,2009-07-10,
2010,2010-07-05,email from Jim Cave 20110414,a20,"POM, SST",2010-07-02,90%,2010-06-27,2010-07-07,
2011,2011-07-04,email from jim cave 20111209,a20,,,,,,not produced?
2012,2012-07-04,catherine michielsens (PSC) email Jan 24 2013,a20,"POM, SST",2012-06-29,,,,
2013,2013-07-03,catherine michielsens (PSC) email September 11 2013; updated fiona martens (PSC) email May 8 2019,a20,"POM, SST",2013-06-30,,,,
2014,2014-07-09,catherine michielsens (PSC) email March 03 2015 12:12 PM,a20,"POM, SST",2014-07-02,,,,
2015,2015-07-06,catherine michielsens (PSC) email March-03-16 3:33 PM,a20,"oscar, sst",2015-07-08,50%,2015-07-06,2015-07-09,
2016,2016-07-03,catherine michielsens (PSC) email Jan 03 2017,a20,bootstrap,2016-07-02,50%,2016-07-01,2016-07-04,
2017,2017-07-04,catherine michielsens (PSC) email Dec 21 2017,a20,bootstrapJune,2017-06-29,50%,2017-06-28,2017-07-01,
2018,2018-07-04,fiona martens (PSC) email May 8 2019,a20,bootstrapJune,2018-07-02,50%,2018-06-30,2018-07-05,
2019,2019-07-07,catherine michielsen (PSC) email June 3 2020 7:50 PM,a20,ARIMAJune,2019-07-05,50%,2019-06-11,2019-07-29,
2020,2020-07-06,catherine michielsen (PSC) email May 17 2021 4:35 PM,a20,ARIMAJune,2020-07-03,95%,2020-06-28,2020-07-12,
2021,2021-07-05,catherine michielsen (PSC) email Jan 31 2022,a20,bootstrapJune,2021-07-05,95%,2021-07-01,2021-07-08,
